boundaryID MMR-ADM2-2_0_0-G373
boundaryISO MMR
boundaryYear 2014.0
boundaryType ADM2
boundarySource-1 "Myanmar Information Management Unit (MIMU), United Nations Development Programme (UNDP)"
boundarySource-2 "Derived from ADM 3 layer"
boundaryLicense "MIMU Data License (MIMU)"
licenseDetail "Granted in terms of use"
licenseSource http://themimu.info/license/
boundarySourceURL http://geonode.themimu.info/layers/?limit=5&offset=10
boundaryUpdate 2020-01-15
downloadURL https://geoboundaries.org/data/geoBoundariesRelease_2_0_0/MMR/ADM2/geoBoundariesRelease_2_0_0-MMR-ADM2-all.zip
